url_len,url_num_hyphens_dom,url_num_dom_token,url_path_len,url_filename_len,url_longest_dom_token_len,url_average_dom_token_len,url_tld,url_domain_len,url_hostname_len,url_num_dots,url_num_underscores,url_num_equals,url_num_slashes,url_num_dash,url_num_semicolon,url_num_at,url_num_percent,url_num_plus,url_query_len,url_num_query_para,url_ip_present,url_entropy,url_count_consonants,url_num_digits,url_chinese_present,url_port,html_num_tags('iframe'),html_num_tags('script'),html_num_tags('embed'),html_num_tags('object'),html_num_tags('div'),html_num_tags('head'),html_num_tags('body'),html_num_tags('form'),html_num_tags('a'),html_num_tags('small'),html_num_tags('span'),html_num_tags('input'),html_num_tags('applet'),html_num_tags('img'),html_num_tags('video'),html_num_tags('audio'),Result_v1
15,0,4,0,0,3,3,0,15,15,3,0,0,2,0,0,0,0,0,0,0,1,3.356492414,4,12,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,benign
96,0,3,82,68,6,4,1,14,14,3,2,0,5,0,0,0,4,0,0,0,0,4.878975484,47,17,0,0,0,1,0,0,7,1,1,0,4,0,1,0,0,1,0,0,benign
12,0,3,0,0,5,3.333333333,0,12,12,2,0,0,2,0,0,0,0,0,0,0,0,3.471354487,11,0,0,0,1,8,0,0,283,1,1,1,62,0,47,1,0,81,1,0,benign
35,0,3,18,10,7,5,1,17,17,3,0,0,4,0,0,0,0,0,0,0,0,4.062795209,24,0,0,0,0,5,0,0,56,1,1,0,48,0,76,0,0,0,0,0,benign
38,0,3,17,16,12,6.333333333,1,21,21,3,0,0,3,0,0,0,0,0,0,0,0,3.932279553,30,0,0,0,0,0,0,0,4,1,1,0,0,0,1,0,0,3,0,0,benign
111,0,3,96,74,9,4.333333333,0,15,15,3,4,0,5,0,0,0,6,0,0,0,0,4.956047577,55,19,0,0,0,3,0,0,4,1,1,0,10,0,0,0,0,1,0,0,benign
13,0,3,0,0,5,3.666666667,1,13,13,2,0,0,2,0,0,0,0,0,0,0,0,3.68418372,11,3,0,0,0,18,0,0,219,1,1,1,344,0,116,29,0,22,0,0,benign
11,0,2,0,0,7,5,0,11,11,1,0,0,2,0,0,0,0,0,0,0,0,3.787143961,11,0,0,0,0,7,0,0,6,1,1,0,2,0,2,0,0,0,0,0,benign
37,2,3,0,0,18,11.66666667,1,37,37,2,0,0,2,2,0,0,0,0,0,0,0,4.311037868,23,0,0,0,0,8,0,0,211,1,1,2,122,0,49,7,0,154,0,0,benign
60,0,2,49,43,7,5,1,11,11,2,1,0,4,0,0,0,4,0,0,0,0,4.613362386,35,10,0,0,0,0,0,0,4,1,1,0,3,0,2,0,0,0,0,0,benign
82,0,3,64,57,10,5.333333333,1,18,18,2,1,0,4,0,0,0,8,0,0,0,0,4.69040924,40,18,0,0,1,27,0,0,186,1,1,3,585,0,214,6,0,138,0,0,benign
16,0,3,0,0,8,4.666666667,1,16,16,2,0,0,2,0,0,0,0,0,0,0,0,3.653996739,14,0,0,0,1,16,0,0,79,1,1,1,161,0,76,2,0,28,0,0,benign
28,1,3,0,0,21,8.666666667,0,28,28,2,0,0,2,1,0,0,0,0,0,0,0,4.071581588,20,0,0,0,0,28,0,0,164,1,1,1,180,0,166,2,0,41,0,0,benign
27,0,2,15,9,8,5.5,1,12,12,2,0,0,4,0,0,0,0,0,0,0,0,3.844384532,19,0,0,0,1,16,0,0,2,1,1,2,27,0,0,5,0,47,0,0,benign
37,0,2,29,18,4,3.5,1,8,8,2,0,0,5,0,0,0,0,0,0,0,0,4.445131835,20,12,0,0,0,10,0,0,46,1,1,1,51,0,33,2,0,2,0,0,benign
24,0,4,10,9,3,2.75,0,14,14,4,0,0,3,0,0,0,0,0,0,0,1,4.220167681,9,11,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,benign
26,0,3,12,0,6,4,1,14,14,2,0,0,5,0,0,0,0,0,0,0,0,3.995715327,13,9,0,0,0,7,0,0,51,1,1,1,198,0,4,2,0,5,0,0,benign
20,0,3,9,0,3,3,1,11,11,2,0,0,4,0,0,0,0,0,0,0,0,3.884155095,12,7,0,0,2,43,0,0,95,1,1,2,76,0,58,9,0,29,0,0,benign
23,1,3,0,0,11,7,1,23,23,2,0,0,2,1,0,0,0,0,0,0,0,3.799581231,15,0,0,0,0,8,0,0,261,1,1,2,123,0,45,7,0,195,0,0,benign
99,0,4,83,73,6,3.25,1,16,16,4,4,0,4,0,0,0,4,0,0,0,0,4.886295693,50,15,0,0,1,47,0,0,129,1,1,3,573,0,12,18,0,22,0,0,benign
141,0,3,126,67,7,4.333333333,1,15,15,6,0,0,7,0,0,0,8,0,0,0,0,4.95450946,70,27,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,benign
26,0,3,9,0,9,5,0,17,17,2,0,0,5,0,0,0,0,0,0,0,0,4.184862969,12,9,0,0,0,11,0,0,40,1,1,2,128,0,17,3,0,4,0,0,benign
91,0,4,72,56,9,4,1,19,19,4,0,0,4,8,0,0,0,0,0,0,0,5.070237942,54,7,0,0,0,1,0,0,280,1,1,3,367,0,181,22,0,117,0,0,benign
26,0,4,13,0,3,2.5,0,13,13,3,0,0,5,0,0,0,0,0,0,0,1,3.919563347,8,14,0,0,1,21,0,0,62,1,1,1,123,0,18,1,0,11,0,0,benign
45,0,3,30,0,7,4.333333333,0,15,15,2,0,0,5,3,0,0,0,0,0,0,0,4.024511493,30,0,0,0,1,29,0,0,370,1,1,0,130,0,8,0,0,65,0,0,benign
37,0,3,24,12,6,3.666666667,1,13,13,3,0,0,4,0,0,0,0,0,0,0,0,4.299896391,21,12,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,benign
40,0,3,23,13,9,5,1,17,17,3,0,0,5,0,0,0,0,0,0,0,0,4.30152815,16,18,0,0,0,17,0,0,32,1,1,2,29,0,8,3,0,0,0,0,benign
30,0,3,10,0,12,6,1,20,20,2,0,0,5,0,0,0,0,0,0,0,0,3.892451853,18,0,0,0,0,7,0,0,88,1,1,1,41,0,2,2,0,2,0,0,benign
62,0,4,44,43,8,3.75,1,18,18,4,0,0,3,0,0,0,4,0,0,0,0,4.784117529,33,12,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,benign
69,0,3,40,0,21,9,1,29,29,2,0,0,7,1,0,0,0,0,0,0,0,4.519236542,37,6,0,0,0,14,0,0,125,1,1,1,110,0,37,2,0,12,0,0,benign
38,0,3,21,10,9,5,1,17,17,3,0,0,5,0,0,0,0,0,0,0,0,4.075217408,27,0,0,0,0,7,0,0,2,1,1,0,1,0,0,0,0,0,0,0,benign
41,0,3,29,16,6,3.333333333,1,12,12,3,1,0,5,0,0,0,0,0,0,0,0,4.54040072,17,15,0,0,0,7,0,0,20,1,1,0,11,0,0,0,0,0,0,0,benign
37,1,3,0,0,21,11.66666667,1,37,37,2,0,0,2,1,0,0,0,0,0,0,0,3.998871107,26,0,0,0,0,4,0,0,79,1,1,0,69,0,1,0,0,0,0,0,benign
15,0,2,0,0,11,7,1,15,15,1,0,0,2,0,0,0,0,0,0,0,0,3.697845823,13,0,0,0,0,29,0,0,1026,1,1,1,390,0,98,6,0,165,0,0,benign
102,0,2,91,90,7,5,1,11,11,2,3,0,3,0,0,0,8,0,0,0,0,4.723762079,56,15,0,0,0,2,0,0,24,1,1,0,5,0,1,1,0,5,0,0,benign
40,0,3,23,13,9,5,0,17,17,3,0,0,5,0,0,0,0,0,0,0,0,4.384509736,16,18,0,0,0,17,0,0,32,1,1,2,29,0,8,3,0,0,0,0,benign
31,0,3,13,12,10,5.333333333,1,18,18,2,1,0,3,0,0,0,0,0,0,0,0,4.113206053,21,0,0,0,0,10,0,0,36,1,1,1,43,0,1,4,0,1,0,0,benign
324,0,2,317,31,4,3,1,7,7,2,1,0,8,1,0,0,54,0,0,0,0,4.094640541,75,159,0,0,0,3,0,0,3,1,1,0,0,0,0,0,0,1,0,0,benign
48,0,4,26,13,7,4.75,1,22,22,4,1,0,4,0,0,0,0,0,0,0,0,4.388101705,30,3,0,0,0,0,0,0,0,1,1,0,2,0,2,0,0,1,0,0,benign
25,0,3,11,10,6,4,1,14,14,3,0,0,3,0,0,0,0,0,0,0,0,3.866729297,19,0,0,0,0,16,0,0,63,1,1,1,74,0,3,12,0,9,0,0,benign
26,0,4,13,12,3,2.5,0,13,13,4,0,0,3,1,0,0,0,0,0,0,1,4.028946392,12,10,0,0,0,1,0,0,2,1,1,1,3,0,0,6,0,0,0,0,benign
60,0,2,49,43,7,5,0,11,11,2,1,0,4,0,0,0,4,0,0,0,0,4.631672864,35,10,0,0,0,0,0,0,4,1,1,0,3,0,2,0,0,0,0,0,benign
437,0,2,430,28,4,3,1,7,7,2,1,0,8,0,0,0,76,0,0,0,0,3.963944313,87,217,0,0,0,3,0,0,3,1,1,0,0,0,0,0,0,1,0,0,benign
29,0,4,11,10,6,3.75,0,18,15,4,0,0,3,0,0,0,0,0,0,0,1,4.006749919,10,14,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,benign
14,0,3,0,0,6,4,1,14,14,2,0,0,2,0,0,0,0,0,0,0,0,3.784941827,15,0,0,0,0,13,0,0,57,1,1,0,60,0,29,0,0,4,0,0,benign
16,0,3,0,0,8,4.666666667,1,16,16,2,0,0,2,0,0,0,0,0,0,0,0,3.970175521,14,0,0,0,0,10,0,0,29,1,1,0,29,0,19,2,0,51,0,0,benign
24,0,3,9,0,7,4.333333333,1,15,15,2,0,0,5,0,0,0,0,0,0,0,0,3.756795811,12,10,0,0,0,5,0,0,91,1,1,1,199,0,30,2,0,33,0,0,benign
32,0,2,20,6,8,5.5,1,12,12,1,1,0,4,0,0,0,0,0,0,0,0,4.670017603,17,8,0,0,0,22,0,0,64,1,1,4,121,0,43,25,0,7,0,0,benign
17,0,2,3,0,10,6.5,1,14,14,2,0,0,4,0,0,0,0,0,0,0,0,3.720175521,10,0,0,0,0,21,0,0,277,1,1,2,283,0,180,8,0,141,0,0,benign
65,0,4,41,14,11,5.25,1,24,24,4,0,0,5,0,0,0,0,0,0,0,0,4.453944602,39,5,0,0,1,46,0,0,158,1,1,3,618,0,14,18,0,34,0,0,benign
44,0,3,28,0,6,4.666666667,1,16,16,2,0,0,5,0,0,0,0,0,0,0,0,4.349210764,19,19,0,0,0,14,0,0,60,1,1,0,130,0,16,0,0,5,0,0,benign
12,0,4,0,0,3,2.25,0,12,12,3,0,0,2,0,0,0,0,0,0,0,1,3.326360408,4,9,0,0,0,2,0,0,3,1,1,0,4,0,0,0,0,0,0,0,benign
27,0,2,18,9,5,4,0,9,9,2,0,0,5,0,0,0,0,0,0,0,0,4.032336283,22,0,0,0,0,3,0,0,15,1,1,1,14,0,1,4,0,9,0,0,benign
9,0,2,0,0,5,4,0,9,9,1,0,0,2,0,0,0,0,0,0,0,0,3.4548224,9,0,0,0,5,33,0,0,292,1,1,5,183,1,106,18,0,21,0,0,benign
48,0,3,31,25,11,5,1,17,17,3,0,0,4,0,0,0,2,0,0,0,0,4.592558296,28,7,0,0,0,0,0,0,4,1,1,0,3,0,2,0,0,0,0,0,benign
25,0,3,12,7,5,3.666666667,1,13,13,2,0,0,4,0,0,0,0,0,0,0,0,4.202819531,13,7,0,0,0,18,0,0,47,1,1,3,100,0,27,18,0,0,0,0,benign
68,0,3,51,46,8,5,1,17,17,3,2,0,4,0,0,0,2,0,0,0,0,5.020429484,43,12,0,0,0,0,0,0,8,1,1,0,0,0,0,0,0,0,0,0,benign
27,0,4,11,10,6,3.25,0,16,13,4,0,0,3,0,0,0,0,0,0,0,1,4.138502179,10,12,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,benign
97,0,3,80,18,7,5,0,17,17,4,0,0,9,0,0,0,1,0,0,0,0,4.757226137,33,42,0,0,0,5,0,0,12,1,1,1,3,0,4,4,0,7,0,0,benign
47,0,4,26,17,12,4.5,0,21,21,4,0,0,4,0,0,0,0,0,0,0,0,4.576931197,28,0,0,0,0,7,0,0,1,1,1,0,0,0,0,0,0,0,0,0,benign
15,0,4,0,0,4,3,1,15,15,3,0,0,2,0,0,0,0,0,0,0,0,3.720128777,13,0,0,0,0,16,0,0,165,1,1,0,130,0,27,0,0,99,0,0,benign
99,0,3,82,19,7,5,1,17,17,4,0,0,9,0,0,0,1,0,0,0,0,4.807740682,33,42,0,0,0,5,0,0,12,1,1,1,3,0,4,4,0,7,0,0,benign
